,knn_scores,svc_scores,mlp_scores,gnb_scores,arvore_scores
Precision,0.6931818181818182,0.6915554380864279,0.7050092764378479,0.4365694115669604,0.7329184704184704
Recall,0.7136538409830335,0.6667243083003953,0.6691287878787879,0.5152173913043478,0.6874633647925573
F1,0.6849861932997018,0.6758282129516044,0.6815342955088872,0.4685099846390169,0.705485598494717
main_score,0.8613861386138614,0.8811881188118812,0.900990099009901,0.7326732673267327,0.8316831683168316
