,knn_scores,svc_scores,mlp_scores,gnb_scores,arvore_scores
Precision,0.5808543096872616,0.5955102810790417,0.5743240644590593,0.5929951690821257,0.5713652482269503
Recall,0.6398148148148147,0.6592592592592593,0.6259259259259259,0.6555555555555556,0.5819444444444445
F1,0.6086318877016552,0.6254022808936104,0.5931971938163888,0.6217116217116216,0.5738111336488618
main_score,0.8670212765957447,0.8936170212765957,0.8457446808510638,0.8882978723404256,0.7872340425531915
