,knn_scores,svc_scores,mlp_scores,gnb_scores,arvore_scores
Precision,0.14993818299089606,0.14550458120848062,0.15404982129581307,0.07296575827264393,0.13105033499013294
Recall,0.13721084743319775,0.14509559828779162,0.1559852351004522,0.12431609513410248,0.1297312567200351
F1,0.1309891688730486,0.1355841284395337,0.14718959453410205,0.06714960604295875,0.12659556644342562
main_score,0.2511961722488038,0.2974481658692185,0.284688995215311,0.09888357256778309,0.20015948963317384
