,knn_scores,svc_scores,mlp_scores,gnb_scores,arvore_scores
Precision,0.7109195402298852,0.7350574712643678,0.6926108374384237,0.7334154351395731,0.6394444444444445
Recall,0.7455254515599345,0.7136288998357962,0.6880131362889984,0.7503694581280789,0.5975396825396825
F1,0.7095511767925562,0.6958625665522217,0.6661593196075954,0.7075148988942093,0.5831746031746031
main_score,0.7352941176470589,0.7254901960784313,0.6862745098039216,0.696078431372549,0.6274509803921569
