,knn_scores,svc_scores,mlp_scores,gnb_scores,arvore_scores
Precision,1.0,1.0,1.0,0.957996053565124,1.0
Recall,1.0,1.0,1.0,0.9570149752411053,1.0
F1,1.0,1.0,1.0,0.9556946860007431,1.0
main_score,1.0,1.0,1.0,0.955701394585726,1.0
