,knn_scores,svc_scores,mlp_scores,gnb_scores,arvore_scores
Precision,0.8654244306418218,0.8888888888888888,0.8256956115779645,0.8777777777777778,0.9083333333333333
Recall,0.8576479076479077,0.8886724386724386,0.8220057720057721,0.8712842712842713,0.9031024531024531
F1,0.8593023255813953,0.8884567250988123,0.8211980977938426,0.8731884057971016,0.9043478260869565
main_score,0.8571428571428571,0.8888888888888888,0.8253968253968254,0.873015873015873,0.9047619047619048
